"id","title","description","due_date","course_id","professor_id","created_at","updated_at"
"1","Assignment 1","Et accusamus totam sit doloremque saepe.","2022-02-11","1","5","2022-02-01 00:00:00","2025-04-29 11:38:43"
"2","Assignment 2","Et quos et et officiis voluptatibus commodi occaecati.","2022-03-11","1","5","2022-03-01 00:00:00","2025-04-29 11:39:07"
"3","Assignment 3","Aperiam asperiores laboriosam quas occaecati eos.","2022-04-11","1","5","2022-04-01 00:00:00","2025-04-29 11:39:29"
"4","Assignment 1","Magnam excepturi iusto sed inventore sunt natus voluptas.","2023-02-11","1","5","2023-02-01 00:00:00","2025-04-29 11:39:52"
"5","Assignment 2","Exercitationem ullam a a provident omnis laborum veniam.","2023-03-11","1","5","2023-03-01 00:00:00","2025-04-29 11:40:14"
"6","Assignment 3","Magni doloremque sed maiores consequuntur sint et ducimus.","2023-04-11","1","5","2023-04-01 00:00:00","2025-04-29 11:40:38"
"7","Assignment 1","Eos perspiciatis ut voluptates.","2024-02-11","1","5","2024-02-01 00:00:00","2025-04-29 11:41:00"
"8","Assignment 2","Voluptas nesciunt et dignissimos id laudantium.","2024-03-11","1","5","2024-03-01 00:00:00","2025-04-29 11:41:08"
"9","Assignment 3","Voluptas molestias commodi qui ea iste.","2024-04-11","1","5","2024-04-01 00:00:00","2025-04-29 11:41:16"
"10","Assignment 1","Sunt fugit esse qui sint.","2025-02-11","1","5","2025-02-01 00:00:00","2025-04-29 11:41:22"
"11","Assignment 2","Distinctio fugit enim voluptas vitae architecto iste vel facere.","2025-03-11","1","5","2025-03-01 00:00:00","2025-04-29 11:41:28"
"12","Assignment 3","Minima dolor quibusdam iure est fuga.","2025-04-11","1","5","2025-04-01 00:00:00","2025-04-29 11:41:36"
"13","Assignment 1","Velit nihil aut libero voluptates ut.","2022-02-11","2","9","2022-02-01 00:00:00","2025-04-29 11:41:43"
"14","Assignment 2","Necessitatibus sed impedit ut.","2022-03-11","2","9","2022-03-01 00:00:00","2025-04-29 11:42:07"
"15","Assignment 3","Harum cupiditate autem aspernatur sit quo.","2022-04-11","2","9","2022-04-01 00:00:00","2025-04-29 11:42:31"
"16","Assignment 1","Dicta corporis et nobis aut labore.","2023-02-11","2","9","2023-02-01 00:00:00","2025-04-29 11:42:53"
"17","Assignment 2","Ipsum quo itaque repellendus eaque praesentium qui nemo.","2023-03-11","2","9","2023-03-01 00:00:00","2025-04-29 11:43:17"
"18","Assignment 3","Dicta assumenda illum voluptatum maxime.","2023-04-11","2","9","2023-04-01 00:00:00","2025-04-29 11:43:40"
"19","Assignment 1","Ullam et sit perferendis accusamus sit molestiae.","2024-02-11","2","9","2024-02-01 00:00:00","2025-04-29 11:44:03"
"20","Assignment 2","Explicabo reiciendis voluptatum et voluptas rerum autem ex.","2024-03-11","2","9","2024-03-01 00:00:00","2025-04-29 11:44:10"
"21","Assignment 3","Quod tempora non aperiam sapiente.","2024-04-11","2","9","2024-04-01 00:00:00","2025-04-29 11:44:18"
"22","Assignment 1","Impedit accusantium eaque ipsa ab.","2025-02-11","2","9","2025-02-01 00:00:00","2025-04-29 11:44:26"
"23","Assignment 2","Quos soluta adipisci sit earum molestiae voluptatem.","2025-03-11","2","9","2025-03-01 00:00:00","2025-04-29 11:44:34"
"24","Assignment 3","Exercitationem ut odit tempore voluptatum molestiae.","2025-04-11","2","9","2025-04-01 00:00:00","2025-04-29 11:44:42"
"25","Assignment 1","Deleniti earum aliquid perspiciatis.","2022-02-11","3","7","2022-02-01 00:00:00","2025-04-29 11:44:49"
"26","Assignment 2","Voluptatum nemo et eaque ut eius.","2022-03-11","3","7","2022-03-01 00:00:00","2025-04-29 11:45:11"
"27","Assignment 3","Ut quidem porro consequatur.","2022-04-11","3","7","2022-04-01 00:00:00","2025-04-29 11:45:33"
"28","Assignment 1","Qui assumenda suscipit et omnis ea.","2023-02-11","3","7","2023-02-01 00:00:00","2025-04-29 11:45:59"
"29","Assignment 2","Id deserunt optio vero unde molestiae atque.","2023-03-11","3","7","2023-03-01 00:00:00","2025-04-29 11:46:25"
"30","Assignment 3","Quibusdam placeat reprehenderit quasi nihil ut.","2023-04-11","3","7","2023-04-01 00:00:00","2025-04-29 11:46:47"
"31","Assignment 1","Nihil ut autem in qui.","2024-02-11","3","7","2024-02-01 00:00:00","2025-04-29 11:47:13"
"32","Assignment 2","Vel fuga rerum quis est labore minima.","2024-03-11","3","7","2024-03-01 00:00:00","2025-04-29 11:47:21"
"33","Assignment 3","Tenetur et asperiores rerum corrupti ut sed ea sit.","2024-04-11","3","7","2024-04-01 00:00:00","2025-04-29 11:47:28"
"34","Assignment 1","Exercitationem sit repudiandae et.","2025-02-11","3","7","2025-02-01 00:00:00","2025-04-29 11:47:35"
"35","Assignment 2","Architecto quam perferendis in dolores minima quia aperiam.","2025-03-11","3","7","2025-03-01 00:00:00","2025-04-29 11:47:42"
"36","Assignment 3","Sunt laborum eos consequatur similique.","2025-04-11","3","7","2025-04-01 00:00:00","2025-04-29 11:47:50"
"37","Assignment 1","Quia nihil mollitia debitis provident.","2022-02-11","4","7","2022-02-01 00:00:00","2025-04-29 11:47:58"
"38","Assignment 2","Iure nihil omnis assumenda culpa aut aut qui aut.","2022-03-11","4","7","2022-03-01 00:00:00","2025-04-29 11:48:23"
"39","Assignment 3","Officiis vel molestias tempora nobis eligendi.","2022-04-11","4","7","2022-04-01 00:00:00","2025-04-29 11:48:46"
"40","Assignment 1","Pariatur nobis sint sequi ducimus dolores adipisci odio.","2023-02-11","4","7","2023-02-01 00:00:00","2025-04-29 11:49:08"
