student_id,course_id,enrolled_at,quiz1,quiz2,midterm,assignments,project,final,present_count,total_sessions,attendance_percentage
2,1,2022-01-01,40.0,35.0,44.0,36.0,80.0,fail,24,768,3.125
2,2,2022-01-01,40.0,30.0,58.0,22.0,66.66666666666667,fail,20,768,2.604166666666667
2,3,2022-01-01,50.0,30.0,50.0,24.0,86.66666666666667,fail,22,768,2.864583333333333
2,4,2022-01-01,35.0,15.0,54.0,10.0,100.0,fail,21,768,2.734375
2,5,2022-01-01,25.0,40.0,52.0,24.0,86.66666666666667,fail,20,768,2.604166666666667
2,6,2022-01-01,25.0,20.0,58.0,4.0,73.33333333333334,fail,22,768,2.864583333333333
2,7,2022-08-01,15.0,20.0,54.0,28.0,66.66666666666667,fail,18,696,2.586206896551724
2,8,2022-08-01,35.0,30.0,60.0,20.0,83.33333333333334,fail,26,696,3.7356321839080464
2,9,2022-08-01,30.0,35.0,58.0,6.0,86.66666666666667,fail,20,696,2.8735632183908044
2,10,2022-08-01,45.0,15.0,56.0,12.0,66.66666666666667,fail,23,696,3.3045977011494254
2,11,2022-08-01,25.0,25.0,38.0,46.0,96.66666666666667,fail,24,696,3.4482758620689653
2,12,2022-08-01,15.0,25.0,54.0,16.0,83.33333333333334,fail,24,696,3.4482758620689653
2,13,2023-01-01,15.0,35.0,52.0,24.0,76.66666666666667,pass,23,576,3.9930555555555554
2,14,2023-01-01,30.0,30.0,38.0,26.0,73.33333333333334,fail,20,576,3.4722222222222223
2,15,2023-01-01,25.0,20.0,52.0,30.0,83.33333333333334,fail,23,576,3.9930555555555554
2,16,2023-01-01,35.0,20.0,38.0,22.0,73.33333333333334,fail,25,576,4.340277777777778
2,17,2023-01-01,35.0,45.0,46.0,16.0,73.33333333333334,fail,24,576,4.166666666666666
2,18,2023-01-01,25.0,25.0,40.0,46.0,73.33333333333334,fail,26,576,4.513888888888888
2,19,2023-08-01,20.0,45.0,42.0,12.0,70.0,fail,22,504,4.365079365079365
2,20,2023-08-01,20.0,50.0,44.0,22.0,83.33333333333334,fail,22,504,4.365079365079365
2,21,2023-08-01,15.0,20.0,50.0,16.0,66.66666666666667,fail,15,504,2.976190476190476
2,22,2023-08-01,20.0,20.0,46.0,16.0,93.33333333333334,fail,15,504,2.976190476190476
2,23,2023-08-01,40.0,35.0,38.0,30.0,83.33333333333334,fail,18,504,3.571428571428571
2,24,2023-08-01,50.0,15.0,46.0,42.0,83.33333333333334,fail,21,504,4.166666666666666
2,25,2024-01-01,45.0,40.0,48.0,40.0,83.33333333333334,fail,23,384,5.989583333333334
2,26,2024-01-01,20.0,30.0,40.0,18.0,96.66666666666667,fail,23,384,5.989583333333334
2,27,2024-01-01,50.0,25.0,58.0,12.0,66.66666666666667,fail,25,384,6.510416666666667
2,28,2024-01-01,20.0,15.0,52.0,16.0,76.66666666666667,fail,21,384,5.46875
2,41,2024-01-01,50.0,45.0,42.0,52.0,70.0,fail,21,384,5.46875
2,42,2024-01-01,50.0,40.0,46.0,0.0,83.33333333333334,fail,23,384,5.989583333333334
2,29,2024-08-01,25.0,50.0,44.0,34.0,83.33333333333334,fail,17,312,5.448717948717949
2,30,2024-08-01,45.0,15.0,42.0,4.0,76.66666666666667,fail,29,312,9.294871794871796
2,31,2024-08-01,40.0,20.0,40.0,20.0,80.0,fail,24,312,7.6923076923076925
2,32,2024-08-01,30.0,15.0,46.0,30.0,93.33333333333334,fail,24,312,7.6923076923076925
2,43,2025-08-01,35.0,35.0,50.0,8.0,83.33333333333334,fail,42,312,13.461538461538462
2,44,2024-08-01,25.0,25.0,46.0,28.0,93.33333333333334,fail,24,192,12.5
2,33,2025-01-01,35.0,15.0,56.0,24.0,76.66666666666667,fail,28,192,14.583333333333334
2,34,2025-01-01,25.0,30.0,46.0,30.0,76.66666666666667,fail,20,192,10.416666666666668
2,35,2025-01-01,15.0,15.0,46.0,18.0,66.66666666666667,fail,25,192,13.020833333333334
2,36,2025-01-01,50.0,30.0,54.0,36.0,96.66666666666667,fail,22,192,11.458333333333332
3,1,2023-01-01,25.0,45.0,42.0,24.0,100.0,fail,26,768,3.3854166666666665
3,2,2023-01-01,15.0,50.0,42.0,18.0,73.33333333333334,fail,26,768,3.3854166666666665
3,3,2023-01-01,45.0,15.0,46.0,20.0,96.66666666666667,fail,24,768,3.125
3,4,2023-01-01,50.0,25.0,52.0,16.0,86.66666666666667,fail,27,768,3.515625
3,5,2023-01-01,40.0,25.0,42.0,16.0,93.33333333333334,fail,25,768,3.2552083333333335
3,6,2023-01-01,40.0,30.0,48.0,22.0,76.66666666666667,fail,24,768,3.125
3,7,2023-08-01,35.0,45.0,42.0,22.0,83.33333333333334,fail,17,696,2.442528735632184
3,8,2023-08-01,15.0,30.0,48.0,28.0,83.33333333333334,fail,23,696,3.3045977011494254
3,9,2023-08-01,25.0,45.0,58.0,28.0,80.0,fail,22,696,3.1609195402298855
3,10,2023-08-01,30.0,45.0,54.0,14.0,90.0,fail,17,696,2.442528735632184
3,11,2023-08-01,25.0,50.0,58.0,26.0,66.66666666666667,fail,25,696,3.5919540229885056
3,12,2023-08-01,35.0,30.0,52.0,22.0,83.33333333333334,pass,25,696,3.5919540229885056
3,13,2024-01-01,45.0,25.0,48.0,30.0,86.66666666666667,fail,23,576,3.9930555555555554
3,14,2024-01-01,25.0,40.0,42.0,22.0,90.0,fail,24,576,4.166666666666666
3,15,2024-01-01,20.0,50.0,38.0,20.0,86.66666666666667,fail,23,576,3.9930555555555554
3,16,2024-01-01,50.0,15.0,56.0,46.0,80.0,fail,18,576,3.125
3,17,2024-01-01,50.0,40.0,44.0,6.0,73.33333333333334,fail,18,576,3.125
3,18,2024-01-01,45.0,20.0,38.0,20.0,80.0,fail,22,576,3.8194444444444446
3,19,2024-08-01,40.0,35.0,60.0,8.0,90.0,fail,26,504,5.158730158730158
3,20,2024-08-01,35.0,15.0,38.0,28.0,76.66666666666667,fail,20,504,3.968253968253968
3,21,2024-08-01,20.0,50.0,42.0,36.0,80.0,fail,22,504,4.365079365079365
3,22,2024-08-01,30.0,50.0,46.0,0.0,80.0,fail,20,504,3.968253968253968
3,23,2024-08-01,35.0,30.0,52.0,12.0,80.0,fail,22,504,4.365079365079365
3,24,2024-08-01,50.0,45.0,44.0,22.0,83.33333333333334,fail,22,504,4.365079365079365
3,25,2025-01-01,15.0,45.0,38.0,42.0,86.66666666666667,fail,24,384,6.25
3,26,2025-01-01,50.0,15.0,44.0,24.0,83.33333333333334,fail,19,384,4.947916666666666
3,27,2025-01-01,50.0,20.0,46.0,34.0,76.66666666666667,fail,24,384,6.25
3,28,2025-01-01,15.0,30.0,44.0,16.0,100.0,fail,19,384,4.947916666666666
3,41,2025-01-01,35.0,20.0,52.0,30.0,80.0,fail,21,384,5.46875
3,42,2025-01-01,45.0,50.0,58.0,2.0,70.0,fail,21,384,5.46875
29,1,2025-01-01,50.0,15.0,58.0,34.0,83.33333333333334,fail,22,768,2.864583333333333
29,2,2025-01-01,20.0,45.0,56.0,18.0,96.66666666666667,fail,24,768,3.125
29,3,2025-01-01,20.0,35.0,42.0,10.0,76.66666666666667,fail,18,768,2.34375
